rating,name,reference,price_level,lat,lon,opening_hours,vicinity,photos,id,types,icon
4.2,Nuyorican Poets Cafe,CoQBdwAAAMC8Ntx6dF3OqaAMyGrnNG3TawIvA4igKj5vU70Qf-n5046V2P7fRLmmb_esQxM3nWIOmNLslPWI0wWhE-8WRisY65UJPtxWb6wTN-g3X5Takb9S9oprpDx8DZ2T01l3pL46E9yca-QhEQ15zNwtj0JSKmOuQ9ZXLdzu6iUiTXL-EhBO5Ks-K_Tq18CranCGeMpTGhT917wZs5O27Ek7VohYnXXKDauc0A,2,40.721938,-73.981792,{u'open_now': False},"236 E 3rd St, New York","[{u'photo_reference': u'CnRnAAAA-xLDJThdldt3Oh0TPw2xnzpu84VThAK-RO4ZcLoaQJwB5fak9shzud7DWKT1tzyOawny1GGt4uIQhlsBkYUKg6iPa2uGY5FHxfKhaCoT9mTievVeTla6Z0sM6GA-r6M4M0qKKUnEwWoeCi_eO3wq-RIQlNnRIctsBtKrwFELj98S_hoUPWRI23DkaO0afkNdKBhe9FUssDA', u'width': 1280, u'html_attributions': [], u'height': 853}]",b8b87ca560de43739cbd5f90644326dde0a56286,"[u'cafe', u'bar', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Rossy's Bakery,CnRwAAAAkd-T1JxOZZuO1ulYcNrxobVA6gWpW3JRuQ8JdCjSas07FUufJd3G56b5SKG7xpMqqezQ6uKZLEI2Xvlx_wT94MPBJCp3gw4EtFeRbQAMJTno32gRMLuwX3yQoTqXJqkVYTH_FeLwXlOj0LGcn8Ou6RIQsYM-tCeS6z-ogJcgl-7kLxoUyyj5X66rt17A2JCe48KFoNP7uAs,,40.721884,-73.981527,,"242 E 3rd St, New York",,f555bec76a7065df572ecf798888daab20d491ef,"[u'bakery', u'store', u'cafe', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
,Coyi Cafe,CnRrAAAAUyB1Fma6QqG7NQ-f8SzAEzC3e0MTzlzQTS36fWe9UQrdjHR1bQaGbNvP2g88UMg763YnfCPTUzi22bA_7SkR2Rh85Vt09J-F_8wHjWAg_GukmCfqUfBCdHCHzWIqXIXj0i7nyzz-fo1Q4bI3hkIIRhIQbSxi-h6PIxE_-B7jFXtxZhoUUNKp6L_lzDzZ6OnXpWmrUzE_8iE,1,40.72293,-73.98296,{u'open_now': True},"42 Avenue B # 2, New York","[{u'photo_reference': u'CnRoAAAA1ye3nOTcXffYu4O2NE_IWGzqpe9iPpsKRS29h0r4uYC7YkjYaVAfc2u5C2bRs909hoZIk_mDxIUqUYKgA4Z-I9ixu9CZjGfjE4Gn9VPhrdvI3Z3SYAMzDBMb4QKhF_hoahb9nPAOZczB7p6CsTKncBIQSbd58TRJyjRoED7lmCVd8RoU-LZCQMPUMScyfaGM0EsIZBsOaQ0', u'width': 1152, u'html_attributions': [u'<a href=""https://plus.google.com/111879893434728591785"">Walkerfourteen NYC</a>'], u'height': 648}]",34d927e746266626e1877858b22037281119e356,"[u'cafe', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,5C Cafe,CnRoAAAA-O2unQ8TZl4FCVRwQOaLb8BoMDezMLPKmptTTb9vYxv0Mvh2xaJQXB99x4LOl_EsePZ81ski45eyxPsbMg1CE8sj0ySkaPr4MCJlW7iQFjUI_ghEEgHKxvW-QbPm1UncEV05jZl2Ru0Cky6rmtAjQxIQ7tVTS2zPvTpTEkIL_eO0gRoUn0ircooZs2SJzzoNmPdrQYjv_JQ,1,40.722735,-73.979656,{u'open_now': False},"68 Avenue C, New York","[{u'photo_reference': u'CnRnAAAAKGBNg-GW5V2Mi-jy1-oA2o1bVcf4JhOqRjpJx9uJR8IaA-ofN_1hqK6-14V3H0Tqxit1hN4QozSqLApvaccmylW4_a-vl7KJDLrhBWoNeZcvdnn4fNM2A-TOMp9ATwVGwOKsmPJlTOl8FQpaZS90AhIQNgxVwe7Udgs_BqNsXSXCiRoUiL0lKSPCQn-FOb5VlzGdcFv27KA', u'width': 1280, u'html_attributions': [], u'height': 853}]",6340a38bfb223b3c22fc39162751f98cd1795166,"[u'cafe', u'restaurant', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,BIKINIS,CnRpAAAAEq4d5xp9SAVGOToPrn_n6Lpz9BtHfgYK1MSNl7jah7tir0TsfI8O--EFNrtZs4RZVJL40_5IGeDyQuEjET8iRdy5mZepqYjn55S3f6ODR4MaBeGVqgFnedPj3iwiyDR8hodjVn6kG-tHCOnFL_isdBIQDsCTBfRFi1NtRTGbw4UyPBoUHn8qsqSbdifMpeT7n1O6WDtbf9g,1,40.722334,-73.979903,{u'open_now': False},"56 Avenue C, New York","[{u'photo_reference': u'CnRnAAAA4XIxWF3HLtH4RDzlr5cghoPad0HoJQxdrr0FdtpE5svEW-Bba2ASSEQO6Kkoc2qYQ43f6f9_5D7q-8fZsLdKGt-__g_IY4Ok1qykr5BWJ98-2xugTYYXV3HN9ye3Q3fVEcEIkiKn52DUjdbTPh8dVRIQ47ps4PU4iFZ3r8DjhNcy1BoUJ9wp4_1A0BVtmAPWCdasXimU8Ek', u'width': 600, u'html_attributions': [], u'height': 600}]",39600e6d0d4d04b0b5a9294c012b0c8deea7c020,"[u'restaurant', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
4.5,Kinfolk Studios,CoQBcQAAAELmq26_Ifsoa5e3iSRQgn99uc1QvKgHcSrr4HORcWG5aNbZJ4oxrb-cwYLv13OElHVdDagijdzXChyaxXldaT7vLZTu7uFpDjveYGz4v-DgXSvJmbpexBIm_kGpLq37Tjjd2BHF1tmrvTk2jlOMTzkSM5rrEyimqIK6iKR3aqazEhAUUiTfEd4MgeIyGN5hz1nLGhQg9Xt9XhPl4ysJEtoemkkjOW3_Dw,,40.721791,-73.958425,,"90 Wythe Ave, Brooklyn","[{u'photo_reference': u'CnRnAAAA2qEzlwAJdDcUg6XifjgFr3lQ94lM-tf2z9Nz4sO9elMGtlsvB_d6CgubEhhyR5PDLKZWIkr-OSHoSa8N2TTCoDzF-pSRVbd2uHSze8E2OfqmR7gdcksd2fLGcGVWXqyIPkS59e3i94HWw4jwl3u6QBIQiDKiRwsI-bsjuWWzyOGa5RoUczADETz8GyAGx_S_yDp6Uitie6A', u'width': 512, u'html_attributions': [], u'height': 342}]",353ff0d421ddd118c0ae8071a0f620273c2f1273,"[u'cafe', u'bar', u'restaurant', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
4.6,Uro Cafe,CnRrAAAAn4cQ3NamHyEV2UCyBrV0ILGPnxfUpohdw2DHDi1VUiWaRe7bDTV4chEdU4SR4KjYFHdFNFV85WZXQmqXkNmcAqMqS2PzKLKB1ix35Yx_0JdBtBBYfE92c6l3frw65Q33YfEyIVgzIkYkMcY8wIRgYRIQXZef7IlMSCCE7yhZS0qGjRoU8QjkzBcJV4G2881MfdBWhz834Vg,,40.72246,-73.948788,,"277 Driggs Ave, Brooklyn","[{u'photo_reference': u'CnRoAAAAnO4ArWNQLK5g3ynu_kaASncUDzV6DkuEPas2hxMhc-L-_m3-up4ChuCkL8fJtZH1ou5z_vw2vuIyBZrycxHCEs8FKTtKyN_cYO5nXrBO4Slb8NS2EhFn0dKAxMrMYmJ7_5Jk5-FNOd6mhSWEP8j53RIQhdEyegVupUI52bu25HqEvBoUdMAg23LWVEyM6pME9MUwiGeHAMM', u'width': 648, u'html_attributions': [u'<a href=""https://plus.google.com/108307480888499596731"">Walkerseven NYC</a>'], u'height': 1152}]",8567abead37bb01b1dd671efb06631b96f8659b0,"[u'cafe', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
4,Variety Cafe,CnRuAAAAlRMgQXyR2nP7nWcC9vPvgluy-fSeWx0XFCIegbkDjMZqHEMz_Q5qDUCn40pXm_0nAW9t9Hvm20coKz9A_XZB8qSnE9gq8EOMfLXTLK14MCyFNWZDztWIMQv6ejZeJhdtI3BXulOoe7q3i8E-JdQZNxIQnQMgeTwK6qGCGtueMi1BzBoUMe9HTsJUdAr-EQCjl4EWhE9g4zA,1,40.722893,-73.944291,{u'open_now': True},"145 Driggs Ave, New York","[{u'photo_reference': u'CnRqAAAAtBJ1e89yKoJR7va6DyNU-kR76VuKZfSZxGMCgbf8WWKGMjDxMcGNxJCRPg0MO1rFHVcMN3rZ71FvIb5L0IyiO6o7YV7Go9tb1g9cNSPSnXmYdk2CLkm6VWV_EewBQoKVAUZ4ikGY0fbOh0n3tI00XBIQFPZ0oZc45YHr7QtbCijgqBoUp4l2hqYJE1LmXdXwCIhky1mjZL4', u'width': 2048, u'html_attributions': [u'<a href=""https://plus.google.com/116707993342200424883"">Mary Jones</a>'], u'height': 1367}]",9aa1c17ca94d3dc27c3daf368f2a790ee839c5e2,"[u'cafe', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Dunkin' Donuts,CnRwAAAAdDR9fu9z9jK_MQfRGSD2s7QQ-xGolIDFX-gHFwuIDxCr7U2-LYHR-wXBvGDyUbcDT-spY6YAF9FvgVtA7TycuJFPnJMQRkbCRYjmR7Ko7q-L2os6rsv_5IpAPd4Gdnge_pM-WOONHZhm-i3EzS9wPxIQZnwS_ZNmZPctkc7Hw2QBDhoUFxZv5-c-kjt3ZPLZV23xoJa2eck,1,40.722983,-73.867496,{u'open_now': True},"63-65 Woodhaven Blvd, Rego Park",,6d2ab5143f45ff00f55ba5b860790b40054ace7b,"[u'store', u'meal_takeaway', u'cafe', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,FIKA Espresso & Wine Bar,CoQBegAAAFk-IH24TnYdUDJwlqpBcu0_F9UBOUf40gsKUSaSlkK156yXuZV6ruu39OmoxOkJ66ESqTjoTMX1pnRam2FXbZYOByLKMMBjFCsEmX5qZOU0Sqh_PaKU5HUhWE1dUC9RLEaqSPqQA4Bd8nh1shwq8q_6FRXflxTWjrb_yE_4IVz9EhA4GR_cAPrRkf4bQhQl8U-9GhTAOifRaXqiKcXdBrqaYj0bv0g1eQ,,40.723739,-74.010486,{u'open_now': True},"450 Washington St, New York","[{u'photo_reference': u'CnRnAAAA1ez9cRa0YNpnMTw9doS6CxaMju-ftDg5gLC1N2EgKha3ff5KtlDOOerThZKLFrGpgPeSbZTicWR1CE4-QrXdTMsXyfi__wps082bkzcd4c0l0uCkR18RW3I-QQjYGEliCkep19ujFjbQCW7znD6tiBIQPlPUx13Ih8DRnhTGV3it3BoUX1hYBET8SeWUIzdbiV-Oxu39_YY', u'width': 1000, u'html_attributions': [], u'height': 667}]",eac2a6ef19fca0c043dd8ccd56d780c769a9f254,"[u'store', u'cafe', u'bar', u'restaurant', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
,Eet Restaurant & Catering,CoQBewAAALdcHn1-4fpVSm0KPQHGr9bRrbtmOngUM1WN-Z5jRmw7UBtyWS1f0gdpAVMcfUbHEL42naqJvaTKEXi9ObU1ow5XHROfax2_77ohED9Vm_55mO49duKQjc0QRec8v4571ZIeO9ZyXZH3Y8hO3xu8yGRO12AC3T7L8cZxbrw-yAv9EhAW60IcqcLe6D80I_rb4y64GhS37ZmFwao6Rbcf5M09eEXLPfUL0w,1,40.723352,-74.006478,{u'open_now': True},"75 Varick St, New York","[{u'photo_reference': u'CnRnAAAA6IZSob5V7vunWZlWeCys135On8APQfrd6dEzfDvCvlUB1AevhIrbRkxIXacLjK5P6zdD7WGlPuz4fUhnMQJj_xp33Vw8d1LJ6YhGZ6TH5TiC13pgYHONrJnb9069tmEhue3nPIs2qbELA5WHFYkgfBIQXJPgudyrel1QbCEtnn_96BoUApZnFFwRK4mir0FRrewRx5rXrQs', u'width': 432, u'html_attributions': [], u'height': 288}]",cbb8d8617b92e4d7c34eb0f14cdfb09209a2e902,"[u'cafe', u'restaurant', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
3.2,Ruben's Empanadas,CoQBcwAAAK7Y_zenSgzM25cc4daaA1mZYpU3jg5UGFQ6eT0IfreVjhokz1hCHsCRcqSCbQL-VrtE5hTsOWGVfgPwA0-b9MxRQk8hk2WXm_-m8jsaVUFQMy2CEKo5Ite7XlcLWZaK7dc4eewdMX_kcmh_7Cgmz6a96tf3DAdeu_-uK0RaTi3WEhCYt_SjmUjE9qaQLMpLcY52GhTq9aZts0hmQQ-2MZYdYxCD-XJvvA,1,40.723212,-74.003233,{u'open_now': True},"505 Broome St, New York","[{u'photo_reference': u'CnRnAAAA9rMM1MbR70fkjUnDvD1dDhxYvCy9b7EQ66zvfZGtRm3RuNzcimc20VXz4SAygWWAWNaT7Nv0VYKI65T_Q2javXAd9nNGG2y17VbksqDMHrDqjGHmK1kyoNOdNzsnJaBD1M0J7bspkYHEZYw1_0ltGhIQcVYFjghcy75KElKoRRF_RhoU_SFgPHCQAAIJQUQKwax7_-ZbuxU', u'width': 1600, u'html_attributions': [], u'height': 2844}]",ec198086e105d5302280ce9eac64e61961d35c09,"[u'bakery', u'store', u'cafe', u'restaurant', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png
4,Ground Support Cafe,CoQBdQAAAJdA3ngFicw6Xk__8UhKjDE_zRCIPztPkmEd9C0r9RTndBmcqaTvhU1wbhCeRsrnWsTiw9u9YvwISzqKZBFPKgwT66aOxDhnzL38ksFvKU3yWYRvWE2z6ngRDAVWOzNFSzJWWZVNpW7noMFUMljvtp9PMidogHFu3U4jioi6BaHpEhCG-J1X8zhuvwVE0utN9jzLGhSE3mnLl8kWUKtjT-EACsCJKMJlOQ,1,40.724251,-74.001961,{u'open_now': True},"399 W Broadway, New York","[{u'photo_reference': u'CnRnAAAAz2EWYuELpl1ZXbef1c0KShcO8G9LGp66dOkT8mDCCL7sOcMwu-yq3c3LynOOEv6pi8qtyUKGwvU6ti50GiM00OHZ02nntYBkesVFbZC_Tr9kwOIMidpu4a2Ye7IeQRnn9YywqluKPeZk-H9ujnLCYxIQpVF7ez0ulRNDRAEaEP5nvRoUb7w4cpDSeSWUhYcQUtXDWzayjME', u'width': 384, u'html_attributions': [], u'height': 216}]",addfa150ad18c43a9459ae30d194f0bab43ac179,"[u'cafe', u'food', u'establishment']",http://maps.gstatic.com/mapfiles/place_api/icons/cafe-71.png
